epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,324.445,2.05495,3.90661,1.9292,0.15432,0.18923,0.07349,0.03494,2.09518,3.89177,2.01185,0.000368363,0.000368363,0.000368363
2,652.417,1.97022,3.32695,1.88053,0.14985,0.20829,0.11502,0.05667,2.2163,4.00063,2.12417,0.000702131,0.000702131,0.000702131
3,969.958,1.98827,3.14656,1.89597,0.22164,0.22609,0.16111,0.0844,2.16876,3.66771,2.13149,0.000999236,0.000999236,0.000999236
4,1288.04,1.94041,2.96626,1.88652,0.2764,0.27993,0.19181,0.09887,2.02715,3.31322,1.96019,0.000946016,0.000946016,0.000946016
5,1604.57,1.89815,2.8048,1.82059,0.2804,0.25226,0.2071,0.10566,2.01251,2.94064,2.00184,0.000891022,0.000891022,0.000891022
6,1921.42,1.82675,2.64844,1.77979,0.34431,0.28582,0.26266,0.14315,1.88674,2.68721,1.87663,0.000836027,0.000836027,0.000836027
7,2241.43,1.79745,2.58537,1.76541,0.31858,0.32794,0.28056,0.16134,1.87867,2.56546,1.83256,0.000781033,0.000781033,0.000781033
8,2558.47,1.74324,2.44213,1.71701,0.34009,0.36857,0.32187,0.18863,1.78799,2.49901,1.75957,0.000726038,0.000726038,0.000726038
9,2876.07,1.68594,2.3397,1.6642,0.38357,0.34355,0.32522,0.18481,1.78319,2.33108,1.76902,0.000671044,0.000671044,0.000671044
10,3195.45,1.69282,2.32816,1.67299,0.39259,0.39096,0.36456,0.20886,1.75337,2.25008,1.71287,0.000616049,0.000616049,0.000616049
11,3511.74,1.71287,2.35552,1.70642,0.45085,0.39294,0.387,0.22111,1.70676,2.26179,1.71318,0.000561055,0.000561055,0.000561055
12,3826.81,1.68258,2.18262,1.69022,0.42323,0.40668,0.39581,0.22451,1.71583,2.18304,1.68949,0.00050606,0.00050606,0.00050606
13,4147.47,1.62651,2.11055,1.63135,0.45153,0.46293,0.42634,0.23989,1.67845,2.12082,1.65536,0.000451066,0.000451066,0.000451066
14,4461.17,1.58531,1.97706,1.59247,0.4529,0.48135,0.44764,0.26114,1.6375,2.07037,1.62767,0.000396071,0.000396071,0.000396071
15,4776.16,1.5544,1.93572,1.58838,0.52125,0.49696,0.48934,0.28028,1.61726,1.97423,1.63992,0.000341077,0.000341077,0.000341077
16,5090.29,1.52443,1.85471,1.5642,0.53923,0.48187,0.48821,0.28167,1.61219,1.9598,1.62436,0.000286083,0.000286083,0.000286083
17,5403.9,1.50669,1.82642,1.54529,0.5653,0.49374,0.51208,0.30956,1.57249,1.86483,1.59019,0.000231088,0.000231088,0.000231088
18,5718.68,1.47819,1.74456,1.51704,0.51604,0.53229,0.52214,0.31643,1.54886,1.82636,1.5572,0.000176094,0.000176094,0.000176094
19,6030.09,1.45688,1.70443,1.49555,0.56817,0.53308,0.53882,0.32592,1.55046,1.78499,1.55639,0.000121099,0.000121099,0.000121099
20,6341.03,1.44,1.66175,1.4819,0.59068,0.53091,0.55663,0.33689,1.5273,1.74958,1.54284,6.61045e-05,6.61045e-05,6.61045e-05
