epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.133,1.68756,3.00081,1.67494,0.49097,0.3304,0.34988,0.19546,1.77015,2.88161,1.84728,0.000366936,0.000366936,0.000366936
2,91.3188,1.69679,2.48872,1.68304,0.41221,0.37782,0.32835,0.19236,1.85787,3.74531,1.90232,0.000700774,0.000700774,0.000700774
3,133.841,1.75613,2.46208,1.73325,0.34049,0.36726,0.29462,0.15519,2.00116,2.98852,2.08286,0.00099795,0.00099795,0.00099795
4,177.187,1.73314,2.37914,1.75712,0.38751,0.3604,0.32629,0.18585,1.88674,2.88686,2.00916,0.000946016,0.000946016,0.000946016
5,218.942,1.70425,2.25481,1.71748,0.4453,0.36553,0.368,0.21183,1.8026,2.49545,1.93877,0.000891022,0.000891022,0.000891022
6,260.028,1.68312,2.13673,1.68843,0.42022,0.36742,0.33991,0.20355,1.82145,2.50015,1.9409,0.000836027,0.000836027,0.000836027
7,301.919,1.62833,2.08647,1.67032,0.46858,0.41092,0.39172,0.23106,1.79304,2.1787,1.91716,0.000781033,0.000781033,0.000781033
8,345.675,1.61424,1.97568,1.65283,0.51597,0.42205,0.42277,0.24819,1.72555,2.08791,1.81133,0.000726038,0.000726038,0.000726038
9,387.082,1.58993,1.93538,1.63789,0.50409,0.46883,0.43708,0.25972,1.70572,2.06412,1.79664,0.000671044,0.000671044,0.000671044
10,428.298,1.57196,1.88257,1.6131,0.4945,0.46841,0.43946,0.26617,1.69774,2.11441,1.82235,0.000616049,0.000616049,0.000616049
11,471.886,1.60312,2.00249,1.70321,0.47111,0.47862,0.45706,0.27449,1.63405,1.96658,1.75319,0.000561055,0.000561055,0.000561055
12,513.018,1.56216,1.79355,1.65758,0.49249,0.50767,0.47904,0.29285,1.65507,1.85712,1.73589,0.00050606,0.00050606,0.00050606
13,552.781,1.54112,1.73443,1.62882,0.57204,0.50012,0.50532,0.3043,1.65693,1.76761,1.73482,0.000451066,0.000451066,0.000451066
14,593.398,1.50752,1.64521,1.606,0.53481,0.51615,0.49161,0.29851,1.60528,1.82953,1.70887,0.000396071,0.000396071,0.000396071
15,634.248,1.46795,1.5952,1.57269,0.58212,0.49413,0.50521,0.30505,1.60059,1.8163,1.68703,0.000341077,0.000341077,0.000341077
16,672.985,1.45043,1.54876,1.55412,0.58957,0.50781,0.52622,0.32353,1.58722,1.69963,1.67831,0.000286083,0.000286083,0.000286083
17,713.815,1.42361,1.46891,1.53009,0.59608,0.53553,0.54162,0.32857,1.58994,1.69211,1.65803,0.000231088,0.000231088,0.000231088
18,752.8,1.38937,1.41221,1.5019,0.52366,0.56891,0.53437,0.33002,1.58118,1.71892,1.66742,0.000176094,0.000176094,0.000176094
19,792.789,1.35527,1.36383,1.48188,0.60169,0.52108,0.53872,0.3351,1.55827,1.6796,1.64742,0.000121099,0.000121099,0.000121099
20,833.636,1.31639,1.31837,1.45696,0.58153,0.54959,0.54646,0.33888,1.55048,1.62808,1.64243,6.61045e-05,6.61045e-05,6.61045e-05
