epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.6104,1.88574,3.62331,1.99673,0.60246,0.0125,0.00272,0.00069,3.18699,7.17625,7.41345,0.0019,0.0019,0.0829
2,26.6406,2.34434,3.38315,2.40958,0,0,0,0,4.00071,35935.2,691.273,0.00382278,0.00382278,0.0648228
3,37.9389,2.32142,3.3431,2.47838,0,0,0,0,5.52099,46034.9,374.11,0.00566636,0.00566636,0.0466664
4,49.5359,2.3944,3.46368,2.54123,0,0,0,0,4.3042,83211.5,497.364,0.00743074,0.00743074,0.0284307
5,59.3254,2.30688,3.32997,2.49875,1e-05,0.00541,0,0,4.90586,103532,258.05,0.00911592,0.00911592,0.0101159
6,72.6818,2.25206,3.19759,2.44503,0.20008,0.0125,1e-05,0,4.25028,2849.76,28.191,0.00901,0.00901,0.00901
7,84.2688,2.20526,3.20011,2.37497,0.00453,0.22186,0.00415,0.00122,3.00675,16.2706,4.79506,0.008812,0.008812,0.008812
8,94.3784,2.05774,3.02927,2.29856,0.43901,0.0462,0.02547,0.00461,3.08106,8.34776,4.57601,0.008614,0.008614,0.008614
9,105.702,2.135,3.07065,2.33788,0.03358,0.0462,0.01968,0.00497,2.88991,9.5604,3.66496,0.008416,0.008416,0.008416
10,118.605,2.0087,2.88742,2.20107,0.05118,0.12337,0.03992,0.01176,3.43205,6.20055,4.36705,0.008218,0.008218,0.008218
11,131.159,2.03434,2.84945,2.22313,0.51191,0.07362,0.06617,0.01729,3.25548,6.13004,4.17817,0.00802,0.00802,0.00802
12,142.68,2.02783,2.77053,2.23277,0.25571,0.15109,0.04962,0.01645,2.87274,4.89499,3.6509,0.007822,0.007822,0.007822
13,153.832,1.98086,2.7125,2.16943,0.43799,0.10326,0.02594,0.00963,2.98678,6.99496,3.45019,0.007624,0.007624,0.007624
14,164.026,1.9891,2.77677,2.20667,0.31736,0.1448,0.07515,0.02762,2.70645,3.76523,3.15307,0.007426,0.007426,0.007426
15,176.163,1.99944,2.68639,2.16365,0.24855,0.07337,0.03688,0.00933,3.14017,4.1671,3.61993,0.007228,0.007228,0.007228
16,187.28,1.9229,2.64778,2.1474,0.23032,0.2963,0.19878,0.09778,2.33242,3.38763,2.83427,0.00703,0.00703,0.00703
17,199.582,1.93729,2.62219,2.14899,0.418,0.24671,0.13231,0.05292,2.45365,3.46558,2.91711,0.006832,0.006832,0.006832
18,210.121,1.96091,2.54027,2.09167,0.56092,0.27826,0.16146,0.07215,2.20231,3.4099,2.84286,0.006634,0.006634,0.006634
19,222.229,1.87131,2.62229,2.08548,0.46249,0.17551,0.11326,0.04378,2.59234,3.50709,3.15481,0.006436,0.006436,0.006436
20,232.911,1.87221,2.51812,2.10832,0.35755,0.35435,0.18804,0.08886,2.26216,3.7723,2.72829,0.006238,0.006238,0.006238
21,244.904,1.89126,2.48963,2.06736,0.59661,0.15927,0.17202,0.07924,2.26517,3.44137,2.71072,0.00604,0.00604,0.00604
22,255.473,1.87622,2.41625,2.01796,0.44774,0.29517,0.20679,0.08326,2.2657,3.17749,2.69849,0.005842,0.005842,0.005842
23,266.58,1.84112,2.45958,2.05564,0.50484,0.31056,0.25926,0.12634,2.21067,2.91903,2.6675,0.005644,0.005644,0.005644
24,278.537,1.8243,2.36009,2.00721,0.66344,0.30936,0.28909,0.13952,2.24007,3.08327,2.7378,0.005446,0.005446,0.005446
25,289.979,1.78371,2.37622,2.00885,0.66363,0.20707,0.23596,0.10003,2.16737,3.2996,2.65354,0.005248,0.005248,0.005248
26,298.625,1.77374,2.3479,2.02332,0.63996,0.33091,0.30327,0.14802,2.12943,3.16306,2.5871,0.00505,0.00505,0.00505
